raceId,driverRef,driver_overall_avg,driver_track_avg,driver_street_avg,driver_high_deg_avg
158,michael_schumacher,10.5,10.5,10.5,10.5
158,barrichello,10.5,10.5,10.5,10.5
158,ralf_schumacher,10.5,10.5,10.5,10.5
158,villeneuve,10.5,10.5,10.5,10.5
158,fisichella,10.5,10.5,10.5,10.5
158,zonta,10.5,10.5,10.5,10.5
158,wurz,10.5,10.5,10.5,10.5
158,gene,10.5,10.5,10.5,10.5
158,heidfeld,10.5,10.5,10.5,10.5
158,salo,10.5,10.5,10.5,10.5
158,button,10.5,10.5,10.5,10.5
158,diniz,10.5,10.5,10.5,10.5
158,mazzacane,10.5,10.5,10.5,10.5
158,frentzen,10.5,10.5,10.5,10.5
158,trulli,10.5,10.5,10.5,10.5
158,alesi,10.5,10.5,10.5,10.5
158,hakkinen,10.5,10.5,10.5,10.5
158,verstappen,10.5,10.5,10.5,10.5
158,coulthard,10.5,10.5,10.5,10.5
158,rosa,10.5,10.5,10.5,10.5
158,irvine,10.5,10.5,10.5,10.5
158,herbert,10.5,10.5,10.5,10.5
159,michael_schumacher,1.0,1.0,1.0,1.0
159,fisichella,5.0,5.0,5.0,5.0
159,frentzen,14.0,14.0,14.0,14.0
159,trulli,15.0,15.0,15.0,15.0
159,ralf_schumacher,3.0,3.0,3.0,3.0
159,button,11.0,11.0,11.0,11.0
159,verstappen,18.0,18.0,18.0,18.0
159,rosa,20.0,20.0,20.0,20.0
159,zonta,6.0,6.0,6.0,6.0
159,mazzacane,13.0,13.0,13.0,13.0
159,coulthard,19.0,19.0,19.0,19.0
159,herbert,22.0,22.0,22.0,22.0
159,gene,8.0,8.0,8.0,8.0
159,hakkinen,17.0,17.0,17.0,17.0
159,barrichello,2.0,2.0,2.0,2.0
159,irvine,21.0,21.0,21.0,21.0
159,villeneuve,4.0,4.0,4.0,4.0
159,alesi,16.0,16.0,16.0,16.0
159,heidfeld,9.0,9.0,9.0,9.0
159,wurz,7.0,7.0,7.0,7.0
159,diniz,12.0,12.0,12.0,12.0
159,salo,10.0,10.0,10.0,10.0
160,michael_schumacher,1.0,1.0,1.0,10.5
160,hakkinen,15.5,15.5,15.5,10.5
160,coulthard,15.0,15.0,15.0,10.5
160,barrichello,8.5,8.5,8.5,10.5
160,villeneuve,10.5,10.5,10.5,10.5
160,salo,16.0,16.0,16.0,10.5
160,irvine,18.5,18.5,18.5,10.5
160,diniz,16.5,16.5,16.5,10.5
160,wurz,13.5,13.5,13.5,10.5
160,herbert,17.0,17.0,17.0,10.5
160,fisichella,3.5,3.5,3.5,10.5
160,zonta,7.5,7.5,7.5,10.5
160,mazzacane,11.5,11.5,11.5,10.5
160,verstappen,12.5,12.5,12.5,10.5
160,trulli,9.5,9.5,9.5,10.5
160,rosa,14.0,14.0,14.0,10.5
160,ralf_schumacher,4.0,4.0,4.0,10.5
160,alesi,17.0,17.0,17.0,10.5
160,heidfeld,14.0,14.0,14.0,10.5
160,button,8.5,8.5,8.5,10.5
160,gene,10.5,10.5,10.5,10.5
160,frentzen,8.5,8.5,8.5,10.5
161,coulthard,11.0,11.0,11.0,15.0
161,hakkinen,11.0,11.0,11.0,15.5
161,michael_schumacher,1.0,1.0,1.0,1.0
161,ralf_schumacher,8.333333333333334,8.333333333333334,8.333333333333334,4.0
161,button,12.333333333333334,12.333333333333334,12.333333333333334,8.5
161,trulli,11.333333333333334,11.333333333333334,11.333333333333334,9.5
161,fisichella,6.0,6.0,6.0,3.5
161,salo,12.666666666666666,12.666666666666666,12.666666666666666,16.0
161,wurz,12.0,12.0,12.0,13.5
161,alesi,17.333333333333332,17.333333333333332,17.333333333333332,17.0
161,diniz,13.666666666666666,13.666666666666666,13.666666666666666,16.5
161,herbert,14.666666666666666,14.666666666666666,14.666666666666666,17.0
161,irvine,14.666666666666666,14.666666666666666,14.666666666666666,18.5
161,gene,14.0,14.0,14.0,10.5
161,mazzacane,12.0,12.0,12.0,11.5
161,villeneuve,8.666666666666666,8.666666666666666,8.666666666666666,10.5
161,frentzen,13.0,13.0,13.0,8.5
161,heidfeld,15.666666666666666,15.666666666666666,15.666666666666666,14.0
161,zonta,9.0,9.0,9.0,7.5
161,barrichello,7.0,7.0,7.0,8.5
161,rosa,14.666666666666666,14.666666666666666,14.666666666666666,14.0
161,verstappen,13.0,13.0,13.0,12.5
162,hakkinen,8.75,8.75,8.75,11.0
162,coulthard,8.5,8.5,8.5,10.333333333333334
162,barrichello,10.25,10.25,10.25,12.333333333333334
162,ralf_schumacher,7.25,7.25,7.25,4.0
162,michael_schumacher,1.5,1.5,1.5,1.6666666666666667
162,frentzen,14.0,14.0,14.0,11.333333333333334
162,salo,11.5,11.5,11.5,13.333333333333334
162,zonta,11.5,11.5,11.5,11.333333333333334
162,fisichella,6.25,6.25,6.25,4.666666666666667
162,wurz,11.25,11.25,11.25,12.0
162,irvine,14.25,14.25,14.25,16.666666666666668
162,trulli,10.0,10.0,10.0,8.333333333333334
162,herbert,14.0,14.0,14.0,15.333333333333334
162,gene,14.0,14.0,14.0,11.666666666666666
162,mazzacane,12.75,12.75,12.75,12.666666666666666
162,heidfeld,16.25,16.25,16.25,15.333333333333334
162,button,10.5,10.5,10.5,7.333333333333333
162,verstappen,15.25,15.25,15.25,15.666666666666666
162,villeneuve,10.5,10.5,10.5,12.333333333333334
162,alesi,15.5,15.5,15.5,14.666666666666666
162,rosa,16.25,16.25,16.25,16.333333333333332
162,diniz,13.0,13.0,13.0,14.666666666666666
163,michael_schumacher,2.2,2.2,2.2,2.5
163,hakkinen,7.2,7.2,7.2,8.5
163,coulthard,7.2,7.2,7.2,8.25
163,barrichello,8.8,8.8,8.8,10.0
163,fisichella,6.8,6.8,6.8,5.75
163,rosa,17.2,17.2,17.2,17.5
163,diniz,14.8,14.8,14.8,16.5
163,mazzacane,13.2,13.2,13.2,13.25
163,alesi,16.4,16.4,16.4,16.0
163,button,11.8,11.8,11.8,9.75
163,herbert,13.8,13.8,13.8,14.75
163,wurz,11.0,11.0,11.0,11.5
163,zonta,10.8,10.8,10.8,10.5
163,gene,14.0,14.0,14.0,12.25
163,villeneuve,12.2,12.2,12.2,14.0
163,irvine,13.6,13.6,13.6,15.25
163,verstappen,15.8,15.8,15.8,16.25
163,ralf_schumacher,6.6,6.6,6.6,4.0
163,salo,10.6,10.6,10.6,11.75
163,frentzen,12.4,12.4,12.4,10.0
163,trulli,10.4,10.4,10.4,9.25
164,coulthard,6.5,6.5,6.5,3.0
164,barrichello,8.0,8.0,8.0,4.0
164,fisichella,6.5,6.5,6.5,11.0
164,irvine,14.0,14.0,14.0,7.0
164,salo,12.0,12.0,12.0,6.0
164,hakkinen,6.333333333333333,6.333333333333333,6.333333333333333,2.0
164,villeneuve,12.666666666666666,12.666666666666666,12.666666666666666,5.0
164,heidfeld,16.2,16.2,16.2,19.0
164,herbert,13.333333333333334,13.333333333333334,13.333333333333334,10.0
164,frentzen,13.666666666666666,13.666666666666666,13.666666666666666,22.0
164,verstappen,16.0,16.0,16.0,14.0
164,michael_schumacher,2.0,2.0,2.0,1.0
164,zonta,11.166666666666666,11.166666666666666,11.166666666666666,12.0
164,ralf_schumacher,8.5,8.5,8.5,17.0
164,trulli,12.166666666666666,12.166666666666666,12.166666666666666,15.0
164,diniz,13.5,13.5,13.5,8.0
164,alesi,15.166666666666666,15.166666666666666,15.166666666666666,18.0
164,mazzacane,12.333333333333334,12.333333333333334,12.333333333333334,13.0
164,gene,14.0,14.0,14.0,21.0
164,wurz,11.166666666666666,11.166666666666666,11.166666666666666,9.0
164,button,11.5,11.5,11.5,20.0
164,rosa,15.333333333333334,15.333333333333334,15.333333333333334,16.0
165,michael_schumacher,3.4285714285714284,3.4285714285714284,3.4285714285714284,6.5
165,barrichello,7.142857142857143,7.142857142857143,7.142857142857143,3.0
165,fisichella,6.0,6.0,6.0,7.0
165,hakkinen,6.285714285714286,6.285714285714286,6.285714285714286,4.0
165,verstappen,15.285714285714286,15.285714285714286,15.285714285714286,12.5
165,trulli,12.571428571428571,12.571428571428571,12.571428571428571,15.0
165,coulthard,5.714285714285714,5.714285714285714,5.714285714285714,2.0
